work_year,experience_level,employment_type,job_title,employee_residence,remote_ratio,company_location,company_size
2023,SE,FT,Principal Data Scientist,ES,100,ES,L
2023,MI,CT,ML Engineer,US,100,US,S
2023,MI,CT,ML Engineer,US,100,US,S
2023,SE,FT,Data Scientist,CA,100,CA,M
2023,SE,FT,Data Scientist,CA,100,CA,M
2023,SE,FT,Applied Scientist,US,0,US,L
2023,SE,FT,Applied Scientist,US,0,US,L
2023,SE,FT,Data Scientist,CA,0,CA,M
2023,SE,FT,Data Scientist,CA,0,CA,M
2023,SE,FT,Data Scientist,US,0,US,M
2023,SE,FT,Data Scientist,US,0,US,M
2023,SE,FT,Data Analyst,US,100,US,M
2023,SE,FT,Data Analyst,US,100,US,M
2023,EN,FT,Applied Scientist,US,0,US,L
2023,EN,FT,Applied Scientist,US,0,US,L
2023,SE,FT,Data Modeler,US,0,US,M
2023,SE,FT,Data Modeler,US,0,US,M
2023,SE,FT,Data Scientist,US,0,US,M
2023,SE,FT,Data Scientist,US,0,US,M
2023,MI,FT,Data Analyst,US,100,US,M
2023,MI,FT,Data Analyst,US,100,US,M
2023,SE,FT,Research Engineer,DE,0,DE,M
2023,SE,FT,Research Engineer,DE,0,DE,M
2023,SE,FT,Analytics Engineer,GB,100,GB,M
2023,SE,FT,Analytics Engineer,GB,100,GB,M
2023,SE,FT,Business Intelligence Engineer,US,0,US,M
2023,SE,FT,Business Intelligence Engineer,US,0,US,M
2023,SE,FT,Machine Learning Engineer,US,0,US,M
2023,SE,FT,Machine Learning Engineer,US,0,US,M
2023,SE,FT,Data Strategist,CA,0,CA,M
2023,SE,FT,Data Strategist,CA,0,CA,M
2023,SE,FT,Data Engineer,US,0,US,M
2023,SE,FT,Data Engineer,US,0,US,M
2023,SE,FT,Computer Vision Engineer,US,0,US,M
2023,SE,FT,Computer Vision Engineer,US,0,US,M
2023,MI,FT,Data Engineer,US,0,US,M
2023,MI,FT,Data Engineer,US,0,US,M
2023,MI,FT,Data Analyst,US,0,US,M
2023,MI,FT,Data Analyst,US,0,US,M
2023,EN,FT,Data Quality Analyst,NG,100,NG,L
2023,EN,FT,Compliance Data Analyst,NG,100,NG,L
2022,MI,FT,Machine Learning Engineer,IN,50,IN,L
2023,EN,FT,Applied Scientist,US,0,US,L
2023,EN,FT,Applied Scientist,US,0,US,L
2023,SE,FT,Data Engineer,US,0,US,M
2023,SE,FT,Data Engineer,US,0,US,M
2023,SE,FT,Data Scientist,US,100,US,M
2023,SE,FT,Data Scientist,US,100,US,M
2023,SE,FT,Data Scientist,US,100,US,M
2023,SE,FT,Data Scientist,US,100,US,M
2023,SE,FT,Data Scientist,US,100,US,M
2023,SE,FT,Data Scientist,US,100,US,M
