remote_ratio,salary_in_usd,work_year,company_size,experience_level,employee_residence,company_location,job_title
100,85847,2022,L,SE,ES,ES,other
100,30000,2022,S,MI,US,US,ML Engineer
100,25500,2022,S,MI,US,US,ML Engineer
100,175000,2022,M,SE,CA,CA,Data Scientist
100,120000,2022,M,SE,CA,CA,Data Scientist
0,222200,2022,L,SE,US,US,Applied Scientist
0,136000,2022,L,SE,US,US,Applied Scientist
0,219000,2022,M,SE,CA,CA,Data Scientist
0,141000,2022,M,SE,CA,CA,Data Scientist
0,147100,2022,M,SE,US,US,Data Scientist
0,90700,2022,M,SE,US,US,Data Scientist
100,130000,2022,M,SE,US,US,Data Analyst
100,100000,2022,M,SE,US,US,Data Analyst
0,213660,2022,L,EN,US,US,Applied Scientist
0,130760,2022,L,EN,US,US,Applied Scientist
0,147100,2022,M,SE,US,US,other
0,90700,2022,M,SE,US,US,other
0,170000,2022,M,SE,US,US,Data Scientist
0,150000,2022,M,SE,US,US,Data Scientist
100,150000,2022,M,MI,US,US,Data Analyst
100,110000,2022,M,MI,US,US,Data Analyst
0,275000,2022,M,SE,DE,DE,Research Engineer
0,174000,2022,M,SE,DE,DE,Research Engineer
100,230000,2022,M,SE,GB,GB,Analytics Engineer
100,143200,2022,M,SE,GB,GB,Analytics Engineer
0,225000,2022,M,SE,US,US,other
0,156400,2022,M,SE,US,US,other
0,200000,2022,M,SE,US,US,ML Engineer
0,130000,2022,M,SE,US,US,ML Engineer
0,90000,2022,M,SE,CA,CA,other
0,72000,2022,M,SE,CA,CA,other
0,253200,2022,M,SE,US,US,Data Engineer
0,90700,2022,M,SE,US,US,Data Engineer
0,342810,2022,M,SE,US,US,Computer Vision Engineer
0,184590,2022,M,SE,US,US,Computer Vision Engineer
0,162500,2022,M,MI,US,US,Data Engineer
0,130000,2022,M,MI,US,US,Data Engineer
0,105380,2022,M,MI,US,US,Data Analyst
0,64500,2022,M,MI,US,US,Data Analyst
100,100000,2022,L,EN,other,other,other
100,30000,2022,L,EN,other,other,other
50,20984,2022,L,MI,IN,IN,ML Engineer
0,204620,2022,L,EN,US,US,Applied Scientist
0,110680,2022,L,EN,US,US,Applied Scientist
0,270703,2022,M,SE,US,US,Data Engineer
0,221484,2022,M,SE,US,US,Data Engineer
100,212750,2022,M,SE,US,US,Data Scientist
100,185000,2022,M,SE,US,US,Data Scientist
100,262000,2022,M,SE,US,US,Data Scientist
100,245000,2022,M,SE,US,US,Data Scientist
100,275300,2022,M,SE,US,US,Data Scientist
100,183500,2022,M,SE,US,US,Data Scientist
100,218500,2022,M,SE,US,US,Data Scientist
100,199098,2022,M,SE,US,US,Data Scientist
100,203300,2022,M,SE,US,US,Data Engineer
100,123600,2022,M,SE,US,US,Data Engineer
0,189110,2022,M,SE,US,US,Research Engineer
0,139000,2022,M,SE,US,US,Research Engineer
0,258750,2022,M,EX,US,US,Data Scientist
0,185000,2022,M,EX,US,US,Data Scientist
100,231500,2022,M,SE,US,US,Data Engineer
100,166000,2022,M,SE,US,US,Data Engineer
100,172500,2022,M,SE,US,US,Data Scientist
100,110500,2022,M,SE,US,US,Data Scientist
0,237999,2022,M,SE,US,US,Data Engineer
0,176000,2022,M,SE,US,US,Data Engineer
100,237000,2022,M,SE,US,US,Data Engineer
100,201450,2022,M,SE,US,US,Data Engineer
0,309400,2022,L,SE,US,US,Applied Scientist
0,159100,2022,L,SE,US,US,Applied Scientist
0,115000,2022,M,SE,US,US,Data Engineer
0,81500,2022,M,SE,US,US,Data Engineer
100,237000,2022,M,SE,US,US,Data Scientist
100,201450,2022,M,SE,US,US,Data Scientist
0,280000,2022,M,SE,US,US,Computer Vision Engineer
0,210000,2022,M,SE,US,US,Computer Vision Engineer
100,280100,2022,M,SE,US,US,Data Architect
100,168100,2022,M,SE,US,US,Data Architect
100,193500,2022,M,SE,US,US,Data Engineer
100,139000,2022,M,SE,US,US,Data Engineer
0,65062,2022,L,MI,other,other,Data Scientist
